datetime,temp_mean,temp_min,temp_max
2023-01-31,11.18611111111111,8.0,15.4
2023-02-01,11.662152777777777,7.95,16.45
2023-02-02,9.417272727272728,7.35,13.4
2023-02-03,9.564027972027972,7.31,13.5
2023-02-04,9.710783216783216,7.27,13.6
2023-02-05,9.857538461538462,7.23,13.700000000000001
2023-02-06,10.004293706293707,7.19,13.8
2023-02-07,10.151048951048951,7.15,13.9
2023-02-08,7.399305555555555,5.75,9.25
2023-02-09,8.528819444444444,5.6,13.2
2023-02-10,8.7375,1.65,14.7
2023-02-11,8.539583333333333,1.85,14.15
2023-02-12,8.452083333333333,5.3,13.1
2023-02-13,8.29020979020979,2.1,14.05
2023-02-14,8.45486111111111,1.7,15.2
2023-02-15,8.372222222222222,4.65,12.55
2023-02-16,9.186805555555557,3.15,15.7
2023-02-17,9.770486111111111,2.5,17.65
2023-02-18,9.85798611111111,1.6,18.35
2023-02-19,8.34943820224719,2.45,18.15
2023-02-20,12.97062937062937,8.05,17.75
2023-02-21,13.148571428571428,6.75,17.45
2023-02-22,10.926736111111111,4.4,17.85
2023-02-23,11.258741258741258,3.9,17.4
2023-02-24,11.40669014084507,5.5,18.45
2023-02-25,10.974652777777777,3.85,18.2
2023-02-26,12.65451388888889,4.75,20.0
2023-02-27,17.63784722222222,12.35,25.05
2023-02-28,20.819097222222222,14.6,27.55
2023-03-01,21.619444444444444,13.3,29.5
2023-03-02,22.999305555555555,13.45,31.6
2023-03-03,19.018055555555556,10.2,25.05
2023-03-04,17.273958333333333,6.7,27.4
2023-03-05,25.255555555555556,16.9,34.65
2023-03-06,15.46875,9.75,19.85
2023-03-07,12.963636363636363,6.2,20.55
2023-03-08,12.954379562043796,8.55,18.25
2023-03-09,11.395378151260504,5.75,20.0
2023-03-10,13.178571428571429,5.3,24.15
2023-03-11,15.872268907563026,7.95,27.15
2023-03-12,16.125416666666666,6.85,27.0
2023-03-13,18.393055555555556,11.35,25.4
2023-03-14,13.261805555555556,10.6,15.85
2023-03-15,12.815277777777778,9.75,16.6
2023-03-16,13.882520325203252,6.45,21.75
2023-03-17,16.515983606557377,11.2,25.1
2023-03-18,14.089583333333334,8.55,19.65
2023-03-19,13.941666666666666,10.4,18.8
2023-03-20,12.644444444444444,10.3,15.5
2023-03-21,13.805902777777778,10.85,17.65
2023-03-22,15.303125000000001,8.3,21.2
2023-03-23,18.62222222222222,13.25,25.15
2023-03-24,22.273263888888888,15.4,29.25
2023-03-25,18.212847222222223,15.2,22.7
2023-03-26,15.516666666666667,11.3,19.6
2023-03-27,13.466972477064221,9.3,20.05
2023-03-28,12.714197530864196,7.9,23.5
2023-03-29,13.25233644859813,10.2,18.65
2023-03-30,12.955555555555556,9.45,16.15
2023-03-31,11.386111111111111,7.2,16.1
2023-04-01,12.287847222222222,5.45,19.2
2023-04-02,15.21923076923077,5.1,24.8
2023-04-03,19.382291666666667,7.45,29.95
2023-04-04,23.02048611111111,14.05,31.95
2023-04-05,16.169791666666665,9.75,22.9
2023-04-06,15.363541666666666,7.65,22.6
2023-04-07,22.66736111111111,15.05,33.0
2023-04-08,21.852777777777778,12.2,32.9
2023-04-09,27.019791666666666,19.0,35.95
2023-04-10,23.561111111111114,16.35,32.35
2023-04-11,14.498611111111112,9.85,17.05
2023-04-12,11.756944444444445,8.6,15.55
2023-04-13,13.975000000000001,9.85,18.95
2023-04-14,16.963541666666668,9.75,24.05
2023-04-15,17.831944444444446,9.95,26.95
2023-04-16,19.105555555555554,13.9,27.05
2023-04-17,21.82986111111111,15.5,31.15
2023-04-18,23.76284722222222,14.45,32.85
2023-04-19,25.148958333333333,16.2,34.65
2023-04-20,18.02847222222222,11.65,24.5
2023-04-21,15.629166666666666,9.25,23.15
2023-04-22,16.461111111111112,8.45,25.0
2023-04-23,17.065040650406505,13.8,24.0
2023-04-24,18.02644927536232,9.9,26.3
2023-04-25,16.31088709677419,8.65,25.55
2023-04-26,17.35787401574803,7.7,27.15
2023-04-27,19.673076923076923,8.1,28.4
2023-04-28,17.652083333333334,13.75,22.5
2023-04-29,16.125,11.4,21.5
2023-04-30,15.782481751824816,10.2,21.3
2023-05-01,15.587062937062935,6.6,24.1
2023-05-02,16.84963768115942,8.7,25.1
2023-05-03,19.797916666666666,12.2,28.05
2023-05-04,21.2622641509434,10.9,35.05
2023-05-05,26.779861111111114,17.4,37.45
2023-05-06,20.446527777777778,13.95,26.25
2023-05-07,18.81875,13.85,23.95
2023-05-08,17.780208333333334,11.5,24.15
2023-05-09,18.769444444444446,12.4,26.4
2023-05-10,20.924475524475522,11.2,32.35
2023-05-11,25.258680555555557,13.9,34.2
2023-05-12,22.536013986013987,16.75,27.95
2023-05-13,19.02112676056338,12.7,25.2
2023-05-14,19.819444444444443,12.8,29.6
2023-05-15,21.523611111111112,15.3,30.5
2023-05-16,25.03402777777778,13.8,38.7
2023-05-17,25.890625,16.65,35.4
2023-05-18,20.27673611111111,15.35,25.65
2023-05-19,18.176041666666666,11.95,24.3
2023-05-20,19.16736111111111,13.95,25.65
2023-05-21,23.530208333333334,12.25,31.9
2023-05-22,27.802777777777777,18.95,34.15
2023-05-23,23.751041666666666,16.2,30.7
2023-05-24,25.91888111888112,18.15,34.2
2023-05-25,22.33191489361702,16.3,30.65
2023-05-26,23.820138888888888,12.45,32.15
2023-05-27,28.889236111111114,19.35,35.05
2023-05-28,23.893055555555556,19.2,30.2
2023-05-29,19.82680412371134,17.3,24.8
2023-05-30,18.595394736842106,13.55,26.85
2023-05-31,23.691880341880342,16.2,31.95
2023-06-01,28.717361111111114,17.3,38.1
2023-06-02,32.55486111111111,25.65,41.8
2023-06-03,24.38888888888889,18.25,30.3
2023-06-04,22.247569444444444,16.55,29.95
